Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate1 5 uM CNO(000)(000)_NeuralEventDetector_neuralMetrics_FIRST 60 SEC.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1125.083333,1797.000000,1872.916667,1957.583333,1672.000000,1589.250000,1695.166667,1464.750000,
B SEM,375.826412,443.978774,485.505976,340.779642,369.470055,424.368089,180.490990,349.563280,
B Replicates,3814.000000,915.000000,4853.000000,1634.000000,2229.000000,4995.000000,1025.000000,945.000000,
,3359.000000,562.000000,5386.000000,3747.000000,3326.000000,3341.000000,1936.000000,2184.000000,
,1691.000000,2968.000000,2112.000000,2576.000000,2736.000000,0.000000,1610.000000,2023.000000,
,196.000000,589.000000,1244.000000,2880.000000,3488.000000,229.000000,2600.000000,2951.000000,
,0.000000,2322.000000,1848.000000,3369.000000,0.000000,1543.000000,2244.000000,694.000000,
,176.000000,1631.000000,739.000000,2943.000000,471.000000,668.000000,1869.000000,33.000000,
,967.000000,1112.000000,713.000000,1118.000000,2215.000000,488.000000,2630.000000,4112.000000,
,0.000000,4532.000000,2565.000000,62.000000,1559.000000,765.000000,1014.000000,806.000000,
,246.000000,2876.000000,664.000000,614.000000,2410.000000,2051.000000,2020.000000,956.000000,
,1760.000000,4045.000000,736.000000,2294.000000,38.000000,2198.000000,1346.000000,661.000000,
,918.000000,12.000000,1615.000000,1466.000000,1586.000000,2211.000000,1315.000000,1993.000000,
,374.000000,0.000000,0.000000,788.000000,6.000000,582.000000,733.000000,219.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.343924,3.743750,3.901910,4.078299,3.483333,3.310938,3.531597,3.051562,
B SEM,0.782972,0.924956,1.011471,0.709958,0.769729,0.884100,0.376023,0.728257,
B Replicates,7.945833,1.906250,10.110417,3.404167,4.643750,10.406250,2.135417,1.968750,
,6.997917,1.170833,11.220833,7.806250,6.929167,6.960417,4.033333,4.550000,
,3.522917,6.183333,4.400000,5.366667,5.700000,0.000000,3.354167,4.214583,
,0.408333,1.227083,2.591667,6.000000,7.266667,0.477083,5.416667,6.147917,
,0.000000,4.837500,3.850000,7.018750,0.000000,3.214583,4.675000,1.445833,
,0.366667,3.397917,1.539583,6.131250,0.981250,1.391667,3.893750,0.068750,
,2.014583,2.316667,1.485417,2.329167,4.614583,1.016667,5.479167,8.566667,
,0.000000,9.441667,5.343750,0.129167,3.247917,1.593750,2.112500,1.679167,
,0.512500,5.991667,1.383333,1.279167,5.020833,4.272917,4.208333,1.991667,
,3.666667,8.427083,1.533333,4.779167,0.079167,4.579167,2.804167,1.377083,
,1.912500,0.025000,3.364583,3.054167,3.304167,4.606250,2.739583,4.152083,
,0.779167,0.000000,0.000000,1.641667,0.012500,1.212500,1.527083,0.456250,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,4.949322,6.460815,7.084884,5.536073,5.435324,5.997138,6.139983,5.786429,
B SEM,0.965289,1.025259,0.467103,0.471611,0.783068,0.641500,0.382391,0.696410,
B Replicates,6.122978,2.393719,7.606457,3.352432,6.396173,5.299242,7.999548,5.946776,
,10.657313,5.206564,8.319223,5.034193,8.490504,8.002526,6.237327,5.363386,
,5.915943,8.403482,9.223380,4.437771,6.042647,NaN,5.665958,5.445531,
,1.723373,4.239397,8.506475,7.316716,5.874522,1.107178,6.051154,8.872648,
,NaN,7.047141,5.051109,7.075792,NaN,4.799176,5.092051,9.042913,
,1.382573,7.811953,7.415177,5.520055,4.025799,8.085348,5.268092,0.691627,
,7.712768,6.081832,6.498951,4.455340,7.894210,6.526430,6.393511,7.254967,
,NaN,12.453095,4.026619,2.910856,4.411775,5.221778,6.039270,6.605175,
,1.486706,6.455701,6.988691,5.751339,6.395652,4.787324,5.633500,4.147077,
,4.788659,10.422163,8.057548,5.583488,1.079988,6.037728,3.978618,6.868453,
,3.095354,0.553913,6.240099,6.551777,8.209896,8.417537,6.225578,6.612652,
,6.607554,NaN,NaN,8.443121,0.967394,7.684251,9.095185,2.585948,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,6.583333,6.750000,7.333333,7.250000,6.083333,7.333333,8.000000,7.416667,
B SEM,0.891529,0.844994,0.666667,0.578988,0.949149,0.666667,0.000000,0.583333,
B Replicates,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,0.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,0.000000,8.000000,8.000000,8.000000,0.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,1.000000,
,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,
,0.000000,8.000000,8.000000,1.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,1.000000,8.000000,8.000000,8.000000,
,8.000000,1.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,0.000000,0.000000,8.000000,1.000000,8.000000,8.000000,8.000000,


    Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.823839,4.100000,4.256629,4.221503,3.918263,3.611932,3.531597,3.088889,
B SEM,0.864708,0.935410,1.037640,0.665677,0.749872,0.910628,0.376023,0.715198,
B Replicates,7.945833,1.906250,10.110417,3.885714,4.643750,10.406250,2.135417,1.968750,
,6.997917,1.170833,11.220833,7.806250,6.929167,6.960417,4.033333,4.550000,
,3.522917,6.183333,4.400000,5.366667,5.700000,NaN,3.354167,4.214583,
,0.408333,1.227083,2.591667,6.000000,7.266667,0.477083,5.416667,6.147917,
,NaN,4.837500,3.850000,7.018750,NaN,3.214583,4.675000,1.445833,
,0.366667,3.397917,1.539583,6.131250,0.981250,1.391667,3.893750,0.516667,
,2.014583,2.316667,1.485417,2.661905,5.273810,1.016667,5.479167,8.566667,
,NaN,9.441667,5.343750,1.033333,3.247917,1.593750,2.112500,1.679167,
,0.512500,5.991667,1.383333,1.279167,5.020833,4.272917,4.208333,1.991667,
,3.666667,8.427083,1.533333,4.779167,0.633333,4.579167,2.804167,1.377083,
,1.912500,0.200000,3.364583,3.054167,3.304167,4.606250,2.739583,4.152083,
,0.890476,NaN,NaN,1.641667,0.100000,1.212500,1.527083,0.456250,


    Number of Bursts
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,38.500000,70.000000,72.916667,76.250000,77.583333,65.416667,62.250000,52.000000,
