Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3  5uM CNO(000)(000)_NeuralEventDetector_neuralMetrics_FIRST 60 SEC.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,998.166667,1611.500000,1328.666667,1364.416667,1154.833333,1446.416667,1938.833333,1593.083333,
B SEM,252.663354,273.812104,228.577927,203.362360,232.014590,346.065952,265.658069,363.593751,
B Replicates,754.000000,2175.000000,1334.000000,93.000000,1946.000000,4774.000000,642.000000,1614.000000,
,527.000000,1260.000000,996.000000,914.000000,662.000000,1004.000000,1049.000000,378.000000,
,450.000000,1658.000000,1582.000000,1187.000000,200.000000,156.000000,1863.000000,1630.000000,
,685.000000,619.000000,867.000000,2433.000000,683.000000,354.000000,2929.000000,0.000000,
,1.000000,1373.000000,1218.000000,997.000000,772.000000,793.000000,2616.000000,2166.000000,
,0.000000,347.000000,1064.000000,1500.000000,620.000000,1557.000000,1316.000000,1598.000000,
,605.000000,1341.000000,3.000000,2056.000000,604.000000,1324.000000,1451.000000,852.000000,
,3105.000000,1063.000000,642.000000,1842.000000,1032.000000,1174.000000,831.000000,0.000000,
,1192.000000,4063.000000,1713.000000,1990.000000,1490.000000,1086.000000,3147.000000,3660.000000,
,1752.000000,1596.000000,1648.000000,1337.000000,3102.000000,1424.000000,1897.000000,1451.000000,
,1720.000000,1578.000000,3300.000000,1707.000000,1793.000000,2442.000000,3365.000000,3978.000000,
,1187.000000,2265.000000,1577.000000,317.000000,954.000000,1269.000000,2160.000000,1790.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.079514,3.357292,2.768056,2.842535,2.405903,3.013368,4.039236,3.318924,
B SEM,0.526382,0.570442,0.476204,0.423672,0.483364,0.720971,0.553454,0.757487,
B Replicates,1.570833,4.531250,2.779167,0.193750,4.054167,9.945833,1.337500,3.362500,
,1.097917,2.625000,2.075000,1.904167,1.379167,2.091667,2.185417,0.787500,
,0.937500,3.454167,3.295833,2.472917,0.416667,0.325000,3.881250,3.395833,
,1.427083,1.289583,1.806250,5.068750,1.422917,0.737500,6.102083,0.000000,
,0.002083,2.860417,2.537500,2.077083,1.608333,1.652083,5.450000,4.512500,
,0.000000,0.722917,2.216667,3.125000,1.291667,3.243750,2.741667,3.329167,
,1.260417,2.793750,0.006250,4.283333,1.258333,2.758333,3.022917,1.775000,
,6.468750,2.214583,1.337500,3.837500,2.150000,2.445833,1.731250,0.000000,
,2.483333,8.464583,3.568750,4.145833,3.104167,2.262500,6.556250,7.625000,
,3.650000,3.325000,3.433333,2.785417,6.462500,2.966667,3.952083,3.022917,
,3.583333,3.287500,6.875000,3.556250,3.735417,5.087500,7.010417,8.287500,
,2.472917,4.718750,3.285417,0.660417,1.987500,2.643750,4.500000,3.729167,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.547218,7.968132,7.630496,5.718226,5.586158,6.286679,6.633630,7.389411,
B SEM,0.853130,1.224859,0.842581,0.588276,0.803483,0.939243,0.657619,1.022670,
B Replicates,5.205142,9.658531,6.107829,1.983735,5.178378,9.440474,2.242683,5.787621,
,3.404955,11.737763,10.454060,5.857888,4.515508,5.938756,5.649021,3.104919,
,1.781028,13.505586,5.109829,4.273852,1.843911,1.247750,7.831798,8.306871,
,4.285221,1.917661,8.753961,6.648904,7.172669,4.240232,9.310420,NaN,
,NaN,6.106989,4.171088,4.035632,4.693422,6.336989,6.243870,9.514126,
,NaN,2.081736,4.010143,5.560699,2.505555,10.943054,10.699163,12.928095,
,3.538214,11.397410,NaN,9.839933,2.512597,8.641607,7.311513,2.533876,
,8.728948,2.295429,7.825706,6.904484,4.036246,3.585957,3.922015,NaN,
,3.994124,6.837498,11.863827,7.228942,10.140919,3.303915,7.960027,7.059674,
,9.700505,12.604566,11.624786,6.566935,8.709536,11.218326,6.752701,10.880788,
,8.867522,10.697679,6.548011,6.090027,9.342708,7.142134,5.244788,7.519861,
,5.966521,6.776735,7.466221,3.627686,6.382448,3.400956,6.435555,6.258277,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,6.666667,7.583333,7.333333,7.750000,8.000000,7.666667,7.666667,6.666667,
B SEM,0.898933,0.336162,0.666667,0.250000,0.000000,0.256235,0.256235,0.898933,
B Replicates,8.000000,8.000000,8.000000,5.000000,8.000000,8.000000,5.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,5.000000,8.000000,0.000000,
,0.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,0.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,0.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,0.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


    Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.495208,3.458457,3.019129,2.851667,2.405903,3.073001,4.140868,3.982708,
B SEM,0.539611,0.549659,0.443260,0.418549,0.483364,0.709139,0.522010,0.740144,
B Replicates,1.570833,4.531250,2.779167,0.303333,4.054167,9.945833,2.130000,3.362500,
,1.097917,2.625000,2.075000,1.904167,1.379167,2.388095,2.185417,0.787500,
,0.937500,3.945238,3.295833,2.472917,0.416667,0.325000,3.881250,3.395833,
,1.427083,1.289583,1.806250,5.068750,1.422917,1.156667,6.102083,NaN,
,NaN,2.860417,2.537500,2.077083,1.608333,1.652083,5.450000,4.512500,
,NaN,1.445833,2.216667,3.125000,1.291667,3.243750,2.741667,3.329167,
,1.260417,2.793750,NaN,4.283333,1.258333,2.758333,3.450000,1.775000,
,6.468750,2.214583,1.337500,3.837500,2.150000,2.445833,1.731250,NaN,
,2.483333,8.464583,3.568750,4.145833,3.104167,2.262500,6.556250,7.625000,
,3.650000,3.325000,3.433333,2.785417,6.462500,2.966667,3.952083,3.022917,
,3.583333,3.287500,6.875000,3.556250,3.735417,5.087500,7.010417,8.287500,
,2.472917,4.718750,3.285417,0.660417,1.987500,2.643750,4.500000,3.729167,


    Number of Bursts
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,39.166667,60.166667,45.500000,54.666667,42.416667,55.416667,67.333333,48.916667,
B SEM,9.196371,10.757544,6.084630,7.547158,7.690469,8.045758,8.574392,8.835584,
B Replicates,28.000000,56.000000,40.000000,4.000000,77.000000,105.000000,54.000000,55.000000,
,27.000000,32.000000,24.000000,49.000000,27.000000,33.000000,24.000000,16.000000,
,27.000000,60.000000,62.000000,66.000000,9.000000,6.000000,71.000000,47.000000,
,42.000000,34.000000,53.000000,97.000000,42.000000,18.000000,88.000000,0.000000,
,0.000000,50.000000,45.000000,40.000000,31.000000,40.000000,88.000000,80.000000,
,0.000000,16.000000,44.000000,64.000000,33.000000,68.000000,47.000000,50.000000,
,30.000000,62.000000,0.000000,72.000000,19.000000,76.000000,42.000000,34.000000,
,116.000000,30.000000,33.000000,65.000000,37.000000,66.000000,30.000000,0.000000,
,51.000000,157.000000,48.000000,74.000000,45.000000,55.000000,102.000000,88.000000,
,78.000000,81.000000,85.000000,40.000000,108.000000,62.000000,62.000000,68.000000,
,37.000000,53.000000,61.000000,69.000000,49.000000,83.000000,122.000000,76.000000,
,34.000000,91.000000,51.000000,16.000000,32.000000,53.000000,78.000000,73.000000,


    Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,6.666667,7.416667,7.333333,7.500000,7.833333,7.416667,7.666667,6.666667,
B SEM,0.898933,0.336162,0.666667,0.500000,0.112367,0.357990,0.256235,0.898933,
B Replicates,8.000000,8.000000,8.000000,2.000000,8.000000,8.000000,5.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,6.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,7.000000,4.000000,8.000000,0.000000,
,0.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,0.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,0.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,0.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


    Burst Duration - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.230101,0.234678,0.256395,0.174633,0.215240,0.235556,0.174779,0.243168,
B SEM,0.026639,0.017360,0.028132,0.015255,0.018803,0.025437,0.014185,0.024130,
B Replicates,0.156703,0.194701,0.198824,0.211060,0.137313,0.360299,0.047457,0.222617,
,0.162293,0.275273,0.283417,0.097720,0.240786,0.237206,0.263247,0.248360,
,0.201675,0.252158,0.339867,0.106231,0.290340,0.423307,0.184556,0.335902,
,0.138520,0.151738,0.149844,0.207185,0.118746,0.226445,0.173990,NaN,
,NaN,0.273455,0.234914,0.167750,0.207972,0.200168,0.157035,0.201255,
,NaN,0.215922,0.222207,0.164255,0.160053,0.172251,0.160252,0.223477,
,0.223792,0.273288,NaN,0.176714,0.287652,0.159053,0.215093,0.240505,
,0.293064,0.322306,0.160363,0.250897,0.188188,0.214172,0.175458,NaN,
