,Chemical_Type,Gene,Value
0,basal,GPR37L_1,0.809806
1,basal,GPR37L_1,0.890126
2,basal,GPR37L_1,0.682422
3,basal,GPR37L_1,0.699101
4,basal,GPR37L_1,0.784501
5,basal,GPR37L_1,0.631427
6,basal,GPR37L_1,0.636124
7,basal,GPR37L_1,0.461942
8,basal,GPR37L_1,0.58614
9,basal,GPR37L_1,0.698112
10,basal,GPR37L_1,0.825891
11,basal,GPR37L_1,0.667393
12,basal,GPR37L_1,0.564596
13,basal,GPR37L_1,0.538221
14,basal,GPR37L_1,0.708757
15,basal,GPR37L_1,0.662096
16,basal,GPR37L_1,0.784876
17,basal,GPR37L_1,0.838293
18,basal,GPR37L_1,0.570017
19,basal,GPR37L_1,0.576823
20,basal,GPR37L_1,0.740985
21,basal,GPR37L_1,0.601075
22,basal,GPR37L_1,0.729589
23,basal,GPR37L_1,0.790077
24,basal,GPR37L_1,0.747893
25,basal,GPR37L_1,0.746394
26,basal,GPR37L_1,0.746937
27,basal,GPR37L_1,0.815066
28,basal,GPR37L_1,0.727805
29,basal,GPR37L_1,0.933933
30,basal,GPR37L_1,0.811872
31,basal,GPR37L_1,0.862762
32,basal,GPR37L_1,0.727723
33,basal,GPR37L_1,0.83495
34,basal,GPR37L_1,0.767221
35,basal,GPR37L_1,0.881075
36,bicucilin2uM,GPR37L_1,0.773048
37,bicucilin2uM,GPR37L_1,0.763942
38,bicucilin2uM,GPR37L_1,0.830372
39,bicucilin2uM,GPR37L_1,0.853182
40,bicucilin2uM,GPR37L_1,0.86427
41,bicucilin2uM,GPR37L_1,0.92676
42,bicucilin2uM,GPR37L_1,0.938962
43,bicucilin2uM,GPR37L_1,0.931374
44,bicucilin2uM,GPR37L_1,0.83059
45,bicucilin2uM,GPR37L_1,0.876468
46,bicucilin2uM,GPR37L_1,0.856421
47,bicucilin2uM,GPR37L_1,0.891748
48,bicucilin2uM,GPR37L_1,0.610326
49,bicucilin2uM,GPR37L_1,0.596907
50,bicucilin2uM,GPR37L_1,0.741438
51,bicucilin2uM,GPR37L_1,0.739037
52,bicucilin2uM,GPR37L_1,0.763766
53,bicucilin2uM,GPR37L_1,0.822117
54,bicucilin2uM,GPR37L_1,0.611965
55,bicucilin2uM,GPR37L_1,0.577958
56,bicucilin2uM,GPR37L_1,0.731499
57,bicucilin2uM,GPR37L_1,0.559749
58,bicucilin2uM,GPR37L_1,0.786654
59,bicucilin2uM,GPR37L_1,0.90186
60,bicucilin2uM,GPR37L_1,0.89003
61,bicucilin2uM,GPR37L_1,0.883881
62,bicucilin2uM,GPR37L_1,0.679207
63,bicucilin2uM,GPR37L_1,0.71669
64,bicucilin2uM,GPR37L_1,0.892605
65,bicucilin2uM,GPR37L_1,0.661721
66,bicucilin2uM,GPR37L_1,0.620895
67,bicucilin2uM,GPR37L_1,0.484964
68,bicucilin2uM,GPR37L_1,0.588559
69,bicucilin2uM,GPR37L_1,0.701157
70,bicucilin2uM,GPR37L_1,0.859409
71,bicucilin2uM,GPR37L_1,0.787766
72,bicucilin6uM,GPR37L_1,0.767935
73,bicucilin6uM,GPR37L_1,0.781913
74,bicucilin6uM,GPR37L_1,0.870947
75,bicucilin6uM,GPR37L_1,0.831352
76,bicucilin6uM,GPR37L_1,0.911637
77,bicucilin6uM,GPR37L_1,0.936963
78,bicucilin6uM,GPR37L_1,0.923212
79,bicucilin6uM,GPR37L_1,0.925503
80,bicucilin6uM,GPR37L_1,0.815973
81,bicucilin6uM,GPR37L_1,0.923742
82,bicucilin6uM,GPR37L_1,0.864091
83,bicucilin6uM,GPR37L_1,0.931441
84,bicucilin6uM,GPR37L_1,0.604932
85,bicucilin6uM,GPR37L_1,0.591209
86,bicucilin6uM,GPR37L_1,0.737708
87,bicucilin6uM,GPR37L_1,0.727186
88,bicucilin6uM,GPR37L_1,0.761659
89,bicucilin6uM,GPR37L_1,0.820128
90,bicucilin6uM,GPR37L_1,0.61887
91,bicucilin6uM,GPR37L_1,0.583278
92,bicucilin6uM,GPR37L_1,0.736574
93,bicucilin6uM,GPR37L_1,0.570539
94,bicucilin6uM,GPR37L_1,0.783683
95,bicucilin6uM,GPR37L_1,0.861863
96,bicucilin6uM,GPR37L_1,0.877927
97,bicucilin6uM,GPR37L_1,0.898627
98,bicucilin6uM,GPR37L_1,0.657459
99,bicucilin6uM,GPR37L_1,0.707698
100,bicucilin6uM,GPR37L_1,0.890765
101,bicucilin6uM,GPR37L_1,0.677754
102,bicucilin6uM,GPR37L_1,0.62046
103,bicucilin6uM,GPR37L_1,0.479595
104,bicucilin6uM,GPR37L_1,0.637769
105,bicucilin6uM,GPR37L_1,0.756384
106,bicucilin6uM,GPR37L_1,0.854394
107,bicucilin6uM,GPR37L_1,0.807425
108,bicucilin26uM,GPR37L_1,0.778279
109,bicucilin26uM,GPR37L_1,0.787473
110,bicucilin26uM,GPR37L_1,0.898023
111,bicucilin26uM,GPR37L_1,0.873598
112,bicucilin26uM,GPR37L_1,0.936168
113,bicucilin26uM,GPR37L_1,0.917964
114,bicucilin26uM,GPR37L_1,0.956405
115,bicucilin26uM,GPR37L_1,0.91718
116,bicucilin26uM,GPR37L_1,0.859871
117,bicucilin26uM,GPR37L_1,0.969465
118,bicucilin26uM,GPR37L_1,0.956327
119,bicucilin26uM,GPR37L_1,0.953952
120,bicucilin26uM,GPR37L_1,0.928194
121,bicucilin26uM,GPR37L_1,0.876075
122,bicucilin26uM,GPR37L_1,0.649308
123,bicucilin26uM,GPR37L_1,0.706506
124,bicucilin26uM,GPR37L_1,0.860316
125,bicucilin26uM,GPR37L_1,0.655725
126,bicucilin26uM,GPR37L_1,0.606333
127,bicucilin26uM,GPR37L_1,0.472493
128,bicucilin26uM,GPR37L_1,0.635009
129,bicucilin26uM,GPR37L_1,0.739722
130,bicucilin26uM,GPR37L_1,0.840638
131,bicucilin26uM,GPR37L_1,0.848415
132,bicucilin26uM,GPR37L_1,0.533677
133,bicucilin26uM,GPR37L_1,0.634711
134,bicucilin26uM,GPR37L_1,0.741584
135,bicucilin26uM,GPR37L_1,0.693815
136,bicucilin26uM,GPR37L_1,0.74383
137,bicucilin26uM,GPR37L_1,0.785165
138,bicucilin26uM,GPR37L_1,0.578987
139,bicucilin26uM,GPR37L_1,0.568383
140,bicucilin26uM,GPR37L_1,0.702548
141,bicucilin26uM,GPR37L_1,0.575255
142,bicucilin26uM,GPR37L_1,0.796083
143,bicucilin26uM,GPR37L_1,0.874238
1008,basal,unt2,0.780628
1009,basal,unt2,0.908272
1010,basal,unt2,0.851354
1011,basal,unt2,0.855924
1012,basal,unt2,0.776237
1013,basal,unt2,0.874278
1014,basal,unt2,0.679296
1015,basal,unt2,0.774116
1016,basal,unt2,0.783424
1017,basal,unt2,0.780554
1018,basal,unt2,0.859723
1019,basal,unt2,0.680414
1020,basal,unt2,0.793395
1021,basal,unt2,0.852969
1022,basal,unt2,0.82799
1023,basal,unt2,0.770663
1024,basal,unt2,0.58302
1025,basal,unt2,0.723973
1026,basal,unt2,0.683062
1027,basal,unt2,0.811354
1028,basal,unt2,0.784516
1029,basal,unt2,0.604276
1030,basal,unt2,0.812114
1031,basal,unt2,0.808546
1032,basal,unt2,0.815827
1033,basal,unt2,0.943893
1034,basal,unt2,0.734271
1035,basal,unt2,0.929046
1036,basal,unt2,0.866575
1037,basal,unt2,0.925319
1038,basal,unt2,0.94002
1039,basal,unt2,0.834162
1040,basal,unt2,0.84691
1041,basal,unt2,0.730128
1042,basal,unt2,0.883158
1043,basal,unt2,0.825699
1044,bicucilin2uM,unt2,0.869351
1045,bicucilin2uM,unt2,0.969547
1046,bicucilin2uM,unt2,0.709152
1047,bicucilin2uM,unt2,0.948145
1048,bicucilin2uM,unt2,0.928139
1049,bicucilin2uM,unt2,0.9294
1050,bicucilin2uM,unt2,0.91852
1051,bicucilin2uM,unt2,0.87833
1052,bicucilin2uM,unt2,0.902533
1053,bicucilin2uM,unt2,0.814019
1054,bicucilin2uM,unt2,0.915477
1055,bicucilin2uM,unt2,0.925702
1056,bicucilin2uM,unt2,0.780598
1057,bicucilin2uM,unt2,0.857682
1058,bicucilin2uM,unt2,0.848461
1059,bicucilin2uM,unt2,0.747072
1060,bicucilin2uM,unt2,0.600386
1061,bicucilin2uM,unt2,0.736835
1062,bicucilin2uM,unt2,0.694104
1063,bicucilin2uM,unt2,0.820283
1064,bicucilin2uM,unt2,0.799342
1065,bicucilin2uM,unt2,0.647778
1066,bicucilin2uM,unt2,0.808611
1067,bicucilin2uM,unt2,0.800944
1068,bicucilin2uM,unt2,0.8167
1069,bicucilin2uM,unt2,0.900884
1070,bicucilin2uM,unt2,0.871266
1071,bicucilin2uM,unt2,0.834749
1072,bicucilin2uM,unt2,0.815397
1073,bicucilin2uM,unt2,0.858868
1074,bicucilin2uM,unt2,0.654139
1075,bicucilin2uM,unt2,0.789683
1076,bicucilin2uM,unt2,0.748931
1077,bicucilin2uM,unt2,0.762028
1078,bicucilin2uM,unt2,0.833921
1079,bicucilin2uM,unt2,0.757683
1080,bicucilin6uM,unt2,0.874137
1081,bicucilin6uM,unt2,0.958652
1082,bicucilin6uM,unt2,0.800609
1083,bicucilin6uM,unt2,0.963166
1084,bicucilin6uM,unt2,0.976891
1085,bicucilin6uM,unt2,0.925675
1086,bicucilin6uM,unt2,0.94801
1087,bicucilin6uM,unt2,0.893268
1088,bicucilin6uM,unt2,0.92271
1089,bicucilin6uM,unt2,0.858887
1090,bicucilin6uM,unt2,0.925214
1091,bicucilin6uM,unt2,0.943827
1092,bicucilin6uM,unt2,0.765653
1093,bicucilin6uM,unt2,0.8456
1094,bicucilin6uM,unt2,0.834268
1095,bicucilin6uM,unt2,0.731901
1096,bicucilin6uM,unt2,0.621041
1097,bicucilin6uM,unt2,0.75447
1098,bicucilin6uM,unt2,0.688658
1099,bicucilin6uM,unt2,0.83743
1100,bicucilin6uM,unt2,0.782916
1101,bicucilin6uM,unt2,0.647332
1102,bicucilin6uM,unt2,0.828389
1103,bicucilin6uM,unt2,0.774902
1104,bicucilin6uM,unt2,0.822069
1105,bicucilin6uM,unt2,0.909818
1106,bicucilin6uM,unt2,0.876447
1107,bicucilin6uM,unt2,0.851162
1108,bicucilin6uM,unt2,0.837101
1109,bicucilin6uM,unt2,0.85497
1110,bicucilin6uM,unt2,0.639701
1111,bicucilin6uM,unt2,0.791607
1112,bicucilin6uM,unt2,0.75856
1113,bicucilin6uM,unt2,0.753253
1114,bicucilin6uM,unt2,0.847413
1115,bicucilin6uM,unt2,0.779296
1116,bicucilin26uM,unt2,0.939628
1117,bicucilin26uM,unt2,0.974643
1118,bicucilin26uM,unt2,0.798451
1119,bicucilin26uM,unt2,0.976451
1120,bicucilin26uM,unt2,0.995143
1121,bicucilin26uM,unt2,0.889977
1122,bicucilin26uM,unt2,0.972222
1123,bicucilin26uM,unt2,0.857867
1124,bicucilin26uM,unt2,0.935806
1125,bicucilin26uM,unt2,0.927184
1126,bicucilin26uM,unt2,0.947778
1127,bicucilin26uM,unt2,0.933112
1128,bicucilin26uM,unt2,0.779432
1129,bicucilin26uM,unt2,0.9201
1130,bicucilin26uM,unt2,0.861053
1131,bicucilin26uM,unt2,0.827669
1132,bicucilin26uM,unt2,0.813441
1133,bicucilin26uM,unt2,0.84905
1134,bicucilin26uM,unt2,0.6277
1135,bicucilin26uM,unt2,0.769864
