,Chemical_Type,Gene,Value
0,basal,GPR37L_1,1.023042
1,basal,GPR37L_1,1.866415
2,basal,GPR37L_1,2.998592
3,basal,GPR37L_1,3.698427
4,basal,GPR37L_1,3.2019
5,basal,GPR37L_1,1.255852
6,basal,GPR37L_1,2.726414
7,basal,GPR37L_1,3.16398
8,basal,GPR37L_1,0.986724
9,basal,GPR37L_1,1.613085
10,basal,GPR37L_1,3.676492
11,basal,GPR37L_1,0.373616
12,basal,GPR37L_1,2.662803
13,basal,GPR37L_1,0.736764
14,basal,GPR37L_1,2.994534
15,basal,GPR37L_1,4.616781
16,basal,GPR37L_1,4.303603
17,basal,GPR37L_1,5.420613
18,basal,GPR37L_1,1.654164
19,basal,GPR37L_1,3.231047
20,basal,GPR37L_1,3.976816
21,basal,GPR37L_1,2.83848
22,basal,GPR37L_1,1.166963
23,basal,GPR37L_1,0.824805
24,basal,GPR37L_1,1.236808
25,basal,GPR37L_1,3.165619
26,basal,GPR37L_1,1.678622
27,basal,GPR37L_1,1.449044
28,basal,GPR37L_1,0.801978
29,basal,GPR37L_1,1.659313
30,basal,GPR37L_1,1.90154
31,basal,GPR37L_1,2.606799
32,basal,GPR37L_1,1.412739
33,basal,GPR37L_1,0.556536
34,basal,GPR37L_1,1.192679
35,basal,GPR37L_1,1.07186
36,bicucilin2uM,GPR37L_1,0.82308
37,bicucilin2uM,GPR37L_1,1.922405
38,bicucilin2uM,GPR37L_1,1.234437
39,bicucilin2uM,GPR37L_1,1.069611
40,bicucilin2uM,GPR37L_1,0.833002
41,bicucilin2uM,GPR37L_1,0.952045
42,bicucilin2uM,GPR37L_1,0.722009
43,bicucilin2uM,GPR37L_1,0.715233
44,bicucilin2uM,GPR37L_1,1.305669
45,bicucilin2uM,GPR37L_1,1.817661
46,bicucilin2uM,GPR37L_1,1.37595
47,bicucilin2uM,GPR37L_1,0.95295
48,bicucilin2uM,GPR37L_1,0.678198
49,bicucilin2uM,GPR37L_1,0.753829
50,bicucilin2uM,GPR37L_1,4.092256
51,bicucilin2uM,GPR37L_1,4.491311
52,bicucilin2uM,GPR37L_1,1.811877
53,bicucilin2uM,GPR37L_1,0.712236
54,bicucilin2uM,GPR37L_1,0.986157
55,bicucilin2uM,GPR37L_1,0.782343
56,bicucilin2uM,GPR37L_1,1.483498
57,bicucilin2uM,GPR37L_1,1.064281
58,bicucilin2uM,GPR37L_1,0.978469
