,Mean Firing Rate (hz),Weighted Mean Firing Rate (Hz),Burst Frequency - Avg (Hz),Burst Duration - Avg (s),Normalized Duration IQR - Avg,IBI Coefficient of Variation - Avg,Burst Percentage - Avg,Network Burst Frequency (Hz),Network Burst Duration - Avg (sec),Network Burst Percentage,Network IBI Coefficient of Variation,Network Normalized Duration IQR,Area Under Normalized Cross-Correlation
PC1,-0.16631344444724308,-0.13859655537679652,-0.01911192804244317,-0.008347369703222831,-0.00642478535083679,0.005916202776999888,-0.029220118765772112,-0.01933327444513828,-0.006853450549187701,-0.025924483399364377,0.016143044355428286,-0.003855831012332211,-0.9748833286901295
PC2,0.7118113936463205,0.6423506480854866,0.0965684934105401,0.05858650667283468,-0.037079534995987026,0.01370563875391069,0.015435313805220728,0.08613132775313333,0.0918308091285692,0.04072357020628949,-0.022534355211587642,-0.012350232383548002,-0.2190459062239967
PC3,0.003222930618365596,0.0009630970459159196,0.037213535032677526,-0.10512187758729133,-0.06196003564703282,-0.6705368962015126,-0.02871173467437748,0.05366215317405274,-0.16005685767379726,-0.047634136233567395,-0.7087380856584863,-0.002337753076068457,-0.01371551944139828
PC4,-0.039799327672871906,-0.06137328424994065,-0.1554884087177899,0.3155292819017399,-0.7563608016116332,-0.015553189614601672,0.05373262636984746,-0.12993045801427347,0.4642393731423616,0.0682507871284191,-0.0954090266724559,-0.22200905895745518,0.01593760919781642
PC5,-0.02147969203439497,-0.0312839811147171,-0.11160727758048344,0.2751367414082172,0.6090047286000604,0.02779313714729121,0.022550094500547187,-0.18471916365636837,0.6476056764259264,0.029807946667534467,-0.2894598967985909,0.006042519461278675,-0.0030758154597229806
PC6,0.05487746966460322,0.04106183809679347,-0.01711235533068498,-0.10119470940033087,-0.024297532592653163,-0.17291385294640194,-0.42171396832603697,-0.2403922526376263,0.14729091681928316,-0.8089505422508596,0.19975633211449959,-0.04414944908053557,0.02647923639416304
PC7,0.08857979928981964,-0.15102411695277815,0.23268549425249901,-0.27635636241117306,-0.06786080042728763,0.6442851800171149,-0.14139438186322476,0.13574473796376577,0.010228057008904752,-0.18678131563773662,-0.5232287448191779,-0.2681196246446328,0.007358321678035192
PC8,0.044917938310705695,-0.01944932702291592,-0.09223894981717831,-0.00867407455188997,-0.197919302032156,0.2162902799362137,-0.02065140811232756,-0.1525752039623,0.025617180404595184,-0.07489328397136967,-0.2051447725920232,0.9115965264590385,-0.0019446183966831915
PC9,-0.19245996852476235,0.28615178525301943,-0.2918789637797837,0.560398362231195,0.05193737203654399,0.1986646490811364,-0.4322260149812102,-0.11662056503555362,-0.4399842639437348,0.03335254340840738,-0.18546515087339333,-0.1003972542606123,0.00873895174312228
PC10,-0.4194820997534819,0.3452916993833381,0.25198594381094824,-0.16756606032692484,-0.059151121556589074,-0.062040009226011335,-0.4976282362336679,0.4211348778195921,0.3295728898092906,0.22257461670084683,0.06237797587816564,0.13612894458365002,0.017804325524563673
PC11,-0.40070741038707725,0.5499532003547294,-0.18979096127429543,-0.41727151736610557,-0.021960584636839246,0.10579237913647571,0.3449989211503278,-0.4182653832891942,0.004578811527457984,-0.036499170414756046,-0.091115441141034,-0.10739536618122822,-0.003936500050944794
PC12,-0.27524551224093163,0.17779568031767717,0.5337734190114598,0.4537433624268018,-0.007599489553302326,0.027681288154113998,0.4440307227607583,0.1982225940636501,-0.05068620279933498,-0.39462694133084136,-0.03106565855342102,0.07271382488227503,0.0003567985620040574
PC13,0.03742320388968754,-0.058212382999286515,0.6478605331696359,0.03710342781880476,-0.02593238848088107,-0.04565193316773182,-0.21397574466689648,-0.6585116307369472,-0.06116094475363606,0.2953677527209919,0.02685692649002017,-0.0150102527827312,0.001319047332798546
